year,month,day,hour,minute,solar_global,solar_direct,solar_diff_down,pressure,temp,kw
2020,2,9,12,45,141.4621910634767,9.580078125,131.8821129384767,997.473575,4.179300000000026,15.906383270912983
2020,2,9,13,0,119.42324214843755,1.140625,118.28261714843755,997.4028999999999,4.364500000000021,13.251064057045795
2020,2,9,13,15,124.2137242374268,6.931641523559578,117.28208271386723,997.354525,4.411992500000025,13.813889053132801
2020,2,9,13,30,129.00420632641604,12.722658047119156,116.28154827929687,997.3061499999999,4.459485000000029,14.855263358668275
2020,2,9,13,45,133.7946884154053,18.51367457067873,115.28101384472654,997.2577749999999,4.506977500000033,11.775000214576721
2020,2,9,14,0,138.58517050439454,24.30469109423831,114.28047941015622,997.2094000000001,4.5544700000000375,9.537143066951208
2020,2,9,14,15,124.27005856219479,20.829109015563983,103.4409495466308,997.1925,4.524622500000035,8.07777793319137
2020,2,9,14,30,109.95494661999507,17.353526936889665,92.6014196831054,997.1756,4.494775000000033,7.140740853768808
2020,2,9,14,45,95.63983467779535,13.877944858215347,81.76188981958,997.1587,4.46492750000003,5.852941288667568
2020,2,9,15,0,81.32472273559561,10.402362779541024,70.92235995605459,997.1417999999999,4.435080000000028,3.780769302294805
2020,2,9,15,15,64.65348765716553,7.8017720846557665,56.851715572509754,997.2169499999999,4.32893500000003,2.9055556191338434
2020,2,9,15,30,47.982252578735434,5.201181389770512,42.78107118896492,997.2920999999999,4.222790000000032,2.311764766188229
2020,2,9,15,45,31.311017500305326,2.6005906948852555,28.71042680542007,997.36725,4.116645000000034,1.45625002682209
2020,2,9,16,0,14.639782421875225,0.0,14.639782421875225,997.4424,4.010500000000036,0.3777777834071053
2020,2,9,16,15,10.979836816406419,0.0,10.979836816406419,997.399575,3.9024125000000396,0.0
2020,2,9,16,30,7.319891210937612,0.0,7.319891210937612,997.35675,3.7943250000000432,
2020,2,9,16,45,3.659945605468806,0.0,3.659945605468806,997.313925,3.686237500000047,
2020,2,9,17,0,0.0,0.0,0.0,997.2711,3.5781500000000506,
2020,2,9,17,15,0.0,0.0,0.0,997.263325,3.5903575000000387,
2020,2,9,17,30,0.0,0.0,0.0,997.25555,3.602565000000027,
2020,2,9,17,45,0.0,0.0,0.0,997.2477749999999,3.614772500000015,
2020,2,9,18,0,0.0,0.0,0.0,997.24,3.626980000000003,
2020,2,9,18,15,0.0,0.0,0.0,997.2746249999999,3.6282700000000148,
2020,2,9,18,30,0.0,0.0,0.0,997.30925,3.6295600000000263,
2020,2,9,18,45,0.0,0.0,0.0,997.3438750000001,3.630850000000038,
2020,2,9,19,0,0.0,0.0,0.0,997.3785,3.6321400000000494,
2020,2,9,19,15,0.0,0.0,0.0,997.3884750000001,3.6299300000000443,
2020,2,9,19,30,0.0,0.0,0.0,997.39845,3.627720000000039,
2020,2,9,19,45,0.0,0.0,0.0,997.408425,3.625510000000034,
2020,2,9,20,0,0.0,0.0,0.0,997.4184,3.623300000000029,
2020,2,9,20,15,0.0,0.0,0.0,997.4800749999999,3.628385000000023,
